ClientId,Period,PlanId,PlanName,FormularyId,FormularyName,ControllerId,ControllerName,Channel,PlanType,PBMId,PBMName
13104,202112,112,HealthPartners Minnesota HMO,59870,HealthPartners Minnesota Preferred Rx,5729,"HealthPartners, Inc.",Commercial,HMO,60208,"MedImpact Healthcare Systems, Inc."
13104,202112,116,UCare Choices,60057,UCare Minnesota Medicaid,7445,"UCare Minnesota, Inc.",Managed Medicaid,HMO - Medicaid,7504,Express Scripts PBM
13104,202112,121,Health Net of OR HMO,61421,Health Net of Oregon Essential Rx,5702,Centene Corporation,Commercial,HMO,3190,Health Net Pharmaceutical Services
13104,202112,133,AmeriHealth New Jersey HMO,64213,AmeriHealth NJ Select 3 Tier,5820,Independence Blue Cross,Commercial,HMO,62738,FutureScripts PBM
13104,202112,136,Horizon Blue Cross Blue Shield of New Jersey HMO,59568,Horizon BCBS of New Jersey,7527,Horizon Blue Cross Blue Shield of New Jersey,Commercial,HMO,60243,Prime Therapeutics
13104,202112,145,Health Partners Medicaid,60023,Health Partners of Philadelphia,63638,State of Pennsylvania,Managed Medicaid,HMO - Medicaid,884,CVS Caremark RX
13104,202112,151,Geisinger Health Plan HMO,60105,Geisinger Health Plan Traditional,3366,Geisinger Health System Corporation,Commercial,HMO,7237,PerformRx
13104,202112,164,Priority Health Michigan HMO,59911,Priority Health Michigan Commercial Formulary,69677,Spectrum Health System,Commercial,HMO,7504,Express Scripts PBM
13104,202112,184,HIP Health Plan New York,59803,EmblemHealth Large Group Formulary,60214,"EmblemHealth, Inc.",Commercial,HMO,7504,Express Scripts PBM
13104,202112,185,Empire BCBS of New York National HMO 3 Tier,62443,Empire BCBS New York National Three Tier,3181,"Anthem, Inc.",Commercial,HMO,69652,IngenioRx
13104,202112,194,Blue Cross Blue Shield of Massachusetts HMO Blue Two Tier,59753,BCBS Massachusetts Two Tier,7513,Blue Cross Blue Shield of Massachusetts,Commercial,HMO,7504,Express Scripts PBM
13104,202112,196,Fallon Community Health Plan HMO,59718,Fallon Community Health Plan 3 Tier,7459,"Fallon Community Health Plan, Inc.",Commercial,HMO,884,CVS Caremark RX
13104,202112,200,MIT Health Plans,61826,Express Scripts Basic with Limited,7504,Express Scripts PBM,Commercial,Employer,7504,Express Scripts PBM
13104,202112,202,Tufts Health Plan Massachusetts 3-Tier HMO,59863,Tufts Health Plan MA 3- Tier,7467,Tufts Health Plan Corp.,Commercial,HMO,884,CVS Caremark RX
13104,202112,203,Health New England HMO,59831,Health New England,60479,"Health New England, Inc.",Commercial,HMO,889,OptumRx
13104,202112,204,Harvard Pilgrim HMO,59712,Harvard Pilgrim Premium 3 Tier,3343,"Harvard Pilgrim Healthcare, Inc.",Commercial,HMO,889,OptumRx
13104,202112,230,Blue Cross Blue Shield of Minnesota PPO FlexRX Three Tier,59843,BCBS of Minnesota FlexRx ThreeTier,5706,Blue Cross Blue Shield of Minnesota,Commercial,PPO,60243,Prime Therapeutics
13104,202112,239,HealthPartners Minnesota PPO,59870,HealthPartners Minnesota Preferred Rx,5729,"HealthPartners, Inc.",Commercial,PPO,60208,"MedImpact Healthcare Systems, Inc."
13104,202112,241,PreferredOne Insurance Company ,60194,Clear Script Formulary,63088,ClearScript PBM,Commercial,POS,63088,ClearScript PBM
13104,202112,256,Kaiser Foundation Health Plan of the Mid-Atlantic States 2 Tier,60339,Kaiser Permanente Mid-Atlantic,3171,"Kaiser Foundation Health Plans, Inc.",Commercial,HMO,60208,"MedImpact Healthcare Systems, Inc."
13104,202112,275,Health Advantage HMO,60842,Health Advantage Standard with Step Formulary,3755,Arkansas Blue Cross Blue Shield,Commercial,HMO,884,CVS Caremark RX
13104,202112,282,Mercy Care Plan Arizona ACC,59634,Mercy Care Plan,7530,Southwest Catholic Health Network Corporation,Managed Medicaid,HMO - Medicaid,884,CVS Caremark RX
13104,202112,285,Health Choice Arizona ACC,59670,Health Choice Arizona,18103,"Blue Cross Blue Shield of Arizona, Inc.",Managed Medicaid,HMO - Medicaid,884,CVS Caremark RX
13104,202112,291,Humana Rx3 Traditional HMO,59441,Humana Rx3 Traditional,3169,"Humana, Inc.",Commercial,HMO,66445,Humana PBM
13104,202112,298,UnitedHealthcare Community Plan Arizona AHCCCS/Medicaid,59979,UnitedHealthcare Community Plan Arizona Physicians IPA,3180,"UnitedHealth Group, Inc.",Managed Medicaid,HMO - Medicaid,889,OptumRx
13104,202112,305,Independent Health HMO,59425,Independent Health-Western New York,7387,"Independent Health Association, Inc.",Commercial,HMO,61916,Pharmacy Benefit Dimensions PBM
13104,202112,317,Excellus BlueCross BlueShield HMO Three Tier,59539,Excellus BCBS 3 Tier,69674,Lifetime Healthcare Companies,Commercial,HMO,6466,FLRx
13104,202112,319,UnitedHealthcare Community Plan - New York,60631,UnitedHealthcare Community Plan - New York,3180,"UnitedHealth Group, Inc.",Managed Medicaid,HMO - Medicaid,889,OptumRx
13104,202112,323,Physicians Health Plan of Michigan HMO,60055,Physicians Health Plan of Michigan 3 Tier w/Specialty,60553,Sparrow Health System,Commercial,HMO,884,CVS Caremark RX
13104,202112,327,Total Health Care Michigan,60809,Total Health Care Medicaid,17182,"Total Health Care, Inc",Managed Medicaid,HMO - Medicaid,5997,Elixir PBM
13104,202112,330,UnitedHealthcare Community Plan of Michigan,59959,UnitedHealthcare Community Plan of Michigan (formerly Great Lakes HP),3180,"UnitedHealth Group, Inc.",Managed Medicaid,HMO - Medicaid,889,OptumRx
13104,202112,348,Florida Health Care Plan HMO,60359,Florida Health Care Plan,66456,Florida Health Care Plans,Commercial,HMO,889,OptumRx
13104,202112,350,Staywell Florida Comprehensive Plan,62154,Staywell Health Plan Florida MMA,63607,State of Florida,Managed Medicaid,HMO - Medicaid,884,CVS Caremark RX
13104,202112,355,Health First Health Plans 3 Tier HMO,59646,Health First Health Plans Florida 3Tier,5806,"Health First, Inc. Florida",Commercial,HMO,889,OptumRx
13104,202112,359,Capital Health Plan Florida 4T,60348,Capital Health Plan 4 Tier,69716,Capital Health Plan,Commercial,HMO,60243,Prime Therapeutics
