ClientId,Period,PlanId,State,Lives
13104,202112,17796,AZ,70
13104,202112,17796,CO,80
13104,202112,17796,FL,398
13104,202112,17796,GA,547
13104,202112,17796,IL,159
13104,202112,17796,IN,59
13104,202112,17796,KS,107
13104,202112,17796,KY,678
13104,202112,17796,LA,198
13104,202112,17796,MI,11
13104,202112,17796,MO,77
13104,202112,17796,MS,6
13104,202112,17796,NV,0
13104,202112,17796,OH,218
13104,202112,17796,TN,236
13104,202112,17796,TX,462
13104,202112,17796,UT,51
13104,202112,17796,WI,288
13104,202112,17982,NV,35000
13104,202112,18081,OR,11035
13104,202112,18081,WA,5192
13104,202112,60230,AZ,171
13104,202112,60230,CO,193
13104,202112,60230,FL,951
13104,202112,60230,GA,1307
13104,202112,60230,IL,381
13104,202112,60230,IN,145
13104,202112,60230,KS,256
13104,202112,60230,KY,1601
13104,202112,60230,LA,473
13104,202112,60230,MI,28
13104,202112,60230,MO,186
13104,202112,60230,MS,17
13104,202112,60230,NV,2
13104,202112,60230,OH,521
13104,202112,60230,PR,1196
13104,202112,60230,TN,565
13104,202112,60230,TX,1103
13104,202112,60230,UT,122
13104,202112,60230,WI,689
13104,202112,60279,AL,285
13104,202112,60279,AZ,4844
13104,202112,60279,CA,34846
13104,202112,60279,CO,2836
13104,202112,60279,CT,3219
13104,202112,60279,DC,426
13104,202112,60279,DE,1043
13104,202112,60279,FL,14841
13104,202112,60279,GA,8363
13104,202112,60279,HI,2426
13104,202112,60279,ID,596
13104,202112,60279,IL,7896
13104,202112,60279,IN,2890
13104,202112,60279,KS,910
13104,202112,60279,KY,987
13104,202112,60279,LA,1053
13104,202112,60279,MA,79997
13104,202112,60279,MD,5091
13104,202112,60279,ME,171
13104,202112,60279,MI,4194
13104,202112,60279,MN,2421
13104,202112,60279,MO,4389
13104,202112,60279,MS,396
13104,202112,60279,MT,217
13104,202112,60279,NC,2332
13104,202112,60279,ND,524
13104,202112,60279,NE,228
13104,202112,60279,NH,1184
13104,202112,60279,NJ,9863
13104,202112,60279,NM,600
13104,202112,60279,NV,1557
13104,202112,60279,NY,18509
13104,202112,60279,OH,16043
13104,202112,60279,OK,694
13104,202112,60279,OR,2258
13104,202112,60279,PA,8512
13104,202112,60279,PR,228
13104,202112,60279,RI,410
13104,202112,60279,SC,466
13104,202112,60279,SD,342
13104,202112,60279,TN,2225
13104,202112,60279,TX,13680
13104,202112,60279,UT,1289
13104,202112,60279,VA,4964
13104,202112,60279,VT,670
13104,202112,60279,WA,4864
13104,202112,60279,WI,887
13104,202112,60279,WV,462
13104,202112,60279,WY,51
13104,202112,60280,AK,0
13104,202112,60280,AL,937
13104,202112,60280,AR,687
13104,202112,60280,AZ,986
13104,202112,60280,CA,3223
13104,202112,60280,CO,581
13104,202112,60280,CT,236
13104,202112,60280,DE,18
13104,202112,60280,FL,3529
13104,202112,60280,GA,1945
13104,202112,60280,HI,131
13104,202112,60280,IA,548
13104,202112,60280,ID,107
13104,202112,60280,IL,1940
13104,202112,60280,IN,2470
13104,202112,60280,KS,1018
13104,202112,60280,KY,1667
13104,202112,60280,LA,1577
13104,202112,60280,MA,836
13104,202112,60280,MD,1137
13104,202112,60280,ME,124
13104,202112,60280,MI,1699
13104,202112,60280,MN,1330
13104,202112,60280,MO,1352
13104,202112,60280,MS,459
13104,202112,60280,NC,1932
13104,202112,60280,ND,19
13104,202112,60280,NE,173
13104,202112,60280,NH,335
13104,202112,60280,NJ,716
13104,202112,60280,NM,376
13104,202112,60280,NV,548
13104,202112,60280,NY,1621
13104,202112,60280,OH,4891
13104,202112,60280,OK,814
13104,202112,60280,OR,352
13104,202112,60280,PA,2312
13104,202112,60280,PR,182
13104,202112,60280,RI,431
13104,202112,60280,SC,862
13104,202112,60280,SD,32
13104,202112,60280,TN,1319
13104,202112,60280,TX,4726
13104,202112,60280,UT,276
13104,202112,60280,VA,1433
13104,202112,60280,VT,3
13104,202112,60280,WA,642
13104,202112,60280,WI,795
13104,202112,60280,WV,357
13104,202112,60329,AL,12
13104,202112,60329,GA,231
13104,202112,60329,MS,13
13104,202112,60329,TN,12529
13104,202112,60329,VA,88
13104,202112,60379,AK,8232
13104,202112,60379,AL,17921
13104,202112,60379,AR,21306
13104,202112,60379,AZ,18326
13104,202112,60379,CA,223987
13104,202112,60379,CO,24963
13104,202112,60379,CT,14467
13104,202112,60379,DC,2808
13104,202112,60379,DE,4371
13104,202112,60379,FL,30654
13104,202112,60379,GA,46880
13104,202112,60379,HI,316
13104,202112,60379,IA,20417
13104,202112,60379,ID,6291
13104,202112,60379,IL,58869
13104,202112,60379,IN,24122
13104,202112,60379,KS,15740
13104,202112,60379,KY,21831
13104,202112,60379,LA,19016
13104,202112,60379,MA,43030
13104,202112,60379,MD,26530
13104,202112,60379,ME,5702
13104,202112,60379,MI,32584
13104,202112,60379,MN,21664
13104,202112,60379,MO,30712
13104,202112,60379,MS,25297
13104,202112,60379,MT,7814
13104,202112,60379,NC,49986
13104,202112,60379,ND,4370
13104,202112,60379,NE,9813
13104,202112,60379,NH,6503
13104,202112,60379,NJ,27147
13104,202112,60379,NM,8483
13104,202112,60379,NV,19463
13104,202112,60379,NY,55024
13104,202112,60379,OH,19209
13104,202112,60379,OK,18632
13104,202112,60379,OR,15850
13104,202112,60379,PA,41076
13104,202112,60379,PR,1606
13104,202112,60379,RI,3361
13104,202112,60379,SC,9015
13104,202112,60379,SD,6181
13104,202112,60379,TN,25985
13104,202112,60379,TX,86567
13104,202112,60379,UT,5170
13104,202112,60379,VA,32386
13104,202112,60379,VT,5001
13104,202112,60379,WA,24064
13104,202112,60379,WI,20843
13104,202112,60379,WV,8829
13104,202112,60379,WY,4155
13104,202112,60565,AL,2
13104,202112,60565,AR,90
13104,202112,60565,AZ,5
13104,202112,60565,CA,8474
13104,202112,60565,CO,1349
13104,202112,60565,CT,365
13104,202112,60565,DC,34
13104,202112,60565,DE,169
13104,202112,60565,FL,3340
13104,202112,68673,CA,30403
13104,202112,68759,AL,198
13104,202112,68759,AR,182
13104,202112,68759,AZ,820
13104,202112,68759,CA,1347
13104,202112,68759,CO,290
13104,202112,68759,CT,178
13104,202112,68759,DE,19
13104,202112,68759,FL,569
13104,202112,68759,GA,464
13104,202112,68759,IA,184
13104,202112,68759,ID,122
13104,202112,68759,IL,442
13104,202112,68759,IN,283
13104,202112,68759,KS,163
13104,202112,68759,KY,142
13104,202112,68759,LA,229
13104,202112,68759,MA,166
13104,202112,68759,MD,189
13104,202112,68759,ME,66
13104,202112,68759,MI,286
13104,202112,68759,MN,104
13104,202112,68759,MO,243
13104,202112,68759,MS,111
13104,202112,68759,MT,148
13104,202112,68759,NC,318
13104,202112,68759,ND,34
13104,202112,68759,NE,100
13104,202112,68759,NH,34
13104,202112,68759,NJ,96
13104,202112,68759,NM,437
13104,202112,68759,NV,215
13104,202112,68759,NY,158
13104,202112,68759,OH,465
13104,202112,68759,OK,238
13104,202112,68759,OR,325
13104,202112,68759,PA,260
13104,202112,68759,RI,40
13104,202112,68759,SC,196
13104,202112,68759,SD,28
13104,202112,68759,TN,333
13104,202112,68759,TX,2881
13104,202112,68759,UT,210
13104,202112,68759,VA,137
13104,202112,68759,VT,32
13104,202112,68759,WA,367
13104,202112,68759,WI,154
13104,202112,68759,WV,39
13104,202112,68759,WY,117
13104,202112,68848,AL,41
13104,202112,68848,AR,3
13104,202112,68848,AZ,48
13104,202112,68848,CA,427
13104,202112,68848,CO,50
13104,202112,68848,CT,25
13104,202112,68848,DE,36
13104,202112,68848,FL,135
13104,202112,68848,GA,79
13104,202112,68848,HI,13
13104,202112,68848,ID,13
13104,202112,68848,IL,50
13104,202112,68848,IN,43
13104,202112,68848,KS,16
13104,202112,68848,LA,15
13104,202112,68848,MA,549
13104,202112,68848,MD,59
13104,202112,68848,ME,22
13104,202112,68848,MI,71
13104,202112,68848,MN,35
13104,202112,68848,MO,62
13104,202112,68848,MS,15
13104,202112,68848,NC,27
13104,202112,68848,NE,14
13104,202112,68848,NH,19
13104,202112,68848,NJ,359
13104,202112,68848,NM,17
13104,202112,68848,NV,23
13104,202112,68848,NY,683
13104,202112,68848,OH,15
13104,202112,68848,OK,2
13104,202112,68848,OR,2
13104,202112,68848,PA,626
13104,202112,68848,PR,131
13104,202112,68848,RI,3
13104,202112,68848,SC,39
13104,202112,68848,TN,41
13104,202112,68848,TX,212
13104,202112,68848,UT,17
13104,202112,68848,VA,72
13104,202112,68848,VT,11
13104,202112,68848,WA,35
13104,202112,68848,WI,41
13104,202112,68848,WV,9
13104,202112,69066,AL,11
13104,202112,69066,AR,34
13104,202112,69066,AZ,80
13104,202112,69066,CA,285
13104,202112,69066,CO,1
13104,202112,69066,CT,16
13104,202112,69066,DE,101
13104,202112,69066,FL,543
13104,202112,69066,GA,405
13104,202112,69066,HI,356
13104,202112,69066,ID,13
13104,202112,69066,IL,48
13104,202112,69066,IN,311
13104,202112,69066,MD,99
13104,202112,69066,MI,21
13104,202112,69066,MO,9
13104,202112,69066,NC,42
13104,202112,69066,NJ,6
13104,202112,69066,NM,42
13104,202112,69066,NY,65
13104,202112,69066,OH,68
13104,202112,69066,OK,34
13104,202112,69066,OR,2
13104,202112,69066,PA,52
13104,202112,69066,SC,66
13104,202112,69066,TN,1534
13104,202112,69066,TX,1216
13104,202112,69066,VA,22
13104,202112,69066,WY,23
13104,202112,69073,AR,1504
13104,202112,69073,AZ,508
13104,202112,69073,CA,3993
13104,202112,69073,CO,1362
13104,202112,69073,DC,1
13104,202112,69073,FL,111
13104,202112,69073,GA,111
13104,202112,69073,IA,1719
13104,202112,69073,ID,480
13104,202112,69073,IL,4558
13104,202112,69073,KS,2497
13104,202112,69073,KY,3
13104,202112,69073,LA,1945
13104,202112,69073,MA,0
13104,202112,69073,MI,47
13104,202112,69073,MN,1433
13104,202112,69073,MO,2306
13104,202112,69073,MT,1
13104,202112,69073,NC,111
13104,202112,69073,NE,3441
13104,202112,69073,NM,304
13104,202112,69073,NV,973
13104,202112,69073,NY,115
13104,202112,69073,OH,115
13104,202112,69073,OK,264
13104,202112,69073,OR,2154
